"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"901","1","TYA","550","天逸","Tin Yat",1.00
"901","1","TFU","480","天富","Tin Fu",2.00
"901","1","CHF","468","頌富","Chung Fu",3.00
"901","1","CHE","490","翠湖","Chestwood",4.00
"901","1","TWI","500","天榮","Tin Wing",5.00
"901","1","GIN","455","銀座","Ginza",6.00
"901","1","TWU","450","天湖","Tin Wu",7.00
"901","1","TIT","435","天慈","Tin Tsz",8.00
"901","1","TSL","430","天水圍","Tin Shui Wai",9.00
"901","1","HMT","425","坑尾村","Hang Mei Tsuen",10.00
"901","1","HSK","380","洪水橋","Hung Shui Kiu",11.00
"901","1","CUT","370","鍾屋村","Chung Uk Tsuen",12.00
"901","1","NAW","360","泥圍","Nai Wai",13.00
"901","1","LTE","350","藍地","Lam Tei",14.00
"901","1","SHL","100","兆康","Siu Hong",15.00
