"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"907","1","NAW","360","泥圍","Nai Wai",1.00
"907","1","LTE","350","藍地","Lam Tei",2.00
"907","1","SHL","100","兆康","Siu Hong",3.00
"907","1","TMH","90","屯門醫院","Tuen Mun Hospital",4.00
"907","1","AFF","80","澤豐","Affluence",5.00
"907","1","NGW","230","銀圍","Ngan Wai",6.00
"907","1","THS","220","大興(南)","Tai Hing (South)",7.00
"907","1","THN","212","大興(北)","Tai Hing (North)",8.00
"907","1","SAW","160","新圍","San Wai",9.00
"907","1","LEK","150","良景","Leung King",10.00
"907","1","TNK","140","田景","Tin King",11.00
"907","1","KIS","130","建生","Kin Sang",12.00
"907","1","CHC","120","青松","Ching Chung",13.00
"907","1","KEL","110","麒麟","Kei Lun",14.00
"907","1","SHL","100","兆康","Siu Hong",15.00
